,DSI,link,title
54,DSI-54,https://www.nbcnews.com/politics/politics-news/texas-woman-gets-5-years-prison-voting-illegally-n861516?cid=public-rss_20180330,Texas woman gets 5 years in prison for voting illegally
55,DSI-55,https://www.nbcnews.com/news/world/white-house-chaos-jeopardizes-war-isis-u-s-commanders-warn-n859966?cid=public-rss_20180330,"White House chaos jeopardizes war on ISIS, U.S. commanders warn"
56,DSI-56,https://www.nbcnews.com/news/us-news/stephon-clark-killing-becomes-test-sacramento-da-election-n861161?cid=public-rss_20180330,Stephon Clark killing becomes test in Sacramento DA election
57,DSI-57,https://www.nbcnews.com/business/autos/epa-expected-announce-rollback-obama-era-mileage-standards-n861416?cid=public-rss_20180330,EPA expected to announce rollback of Obama-era mileage standards
58,DSI-58,https://www.nbcnews.com/politics/first-read/who-s-comfortable-who-s-uneasy-changing-american-culture-n861426?cid=public-rss_20180330,Who's comfortable — and who's uneasy — with a changing American culture?
59,DSI-59,https://www.nbcnews.com/politics/first-read/majority-americans-are-ready-protest-here-s-what-s-got-n861296?cid=public-rss_20180331,A majority of Americans are ready to protest. Here's what's got them fired up.
60,DSI-60,https://www.nbcnews.com/business/autos/epa-expected-announce-rollback-obama-era-mileage-standards-n861416?cid=public-rss_20180331,EPA expected to announce rollback of Obama-era mileage standards
61,DSI-61,https://www.nbcnews.com/politics/donald-trump/trump-tells-aides-not-talk-publicly-about-russia-policy-moves-n861256?cid=public-rss_20180331,Trump tells aides not to talk publicly about Russia policy moves
62,DSI-62,https://www.nbcnews.com/politics/politics-news/epa-chief-paid-50-night-dc-condo-linked-lobbyist-n861621?cid=public-rss_20180331,"EPA chief paid $50 a night for Washington, D.C. condo linked to lobbyist"
63,DSI-63,https://www.nbcnews.com/news/world/white-house-chaos-jeopardizes-war-isis-u-s-commanders-warn-n859966?cid=public-rss_20180331,"White House chaos jeopardizes war on ISIS, U.S. commanders warn"
64,DSI-64,https://www.nbcnews.com/politics/politics-news/gofundme-page-fired-fbi-no-2-mccabe-legal-defense-fund-n861581?cid=public-rss_20180331,GoFundMe page for fired FBI No. 2 McCabe legal defense fund nears $500K
65,DSI-65,https://www.nbcnews.com/politics/white-house/trump-ally-detained-served-mueller-subpoena-boston-airport-n861456?cid=public-rss_20180331,"Trump ally detained, served with Mueller subpoena at Boston airport"
66,DSI-66,https://www.nbcnews.com/politics/elections/former-maryland-gov-martin-o-malley-roots-against-gerrymander-he-n861551?cid=public-rss_20180331,Former Maryland Gov. Martin O'Malley roots against gerrymander he helped engineer
67,DSI-67,https://www.nbcnews.com/politics/politics-news/texas-woman-gets-5-years-prison-voting-illegally-n861516?cid=public-rss_20180331,Texas woman gets 5 years in prison for voting illegally
68,DSI-68,https://www.nbcnews.com/news/us-news/stephon-clark-killing-becomes-test-sacramento-da-election-n861161?cid=public-rss_20180331,Stephon Clark killing becomes test in Sacramento DA election
69,DSI-69,https://www.nbcnews.com/politics/first-read/who-s-comfortable-who-s-uneasy-changing-american-culture-n861426?cid=public-rss_20180331,Who's comfortable — and who's uneasy — with a changing American culture?
70,DSI-70,https://www.nbcnews.com/politics/politics-news/fired-va-head-shulkin-says-political-appointees-were-focused-privatization-n861351?cid=public-rss_20180331,Fired VA head Shulkin says political appointees were focused on privatization
71,DSI-71,https://www.nbcnews.com/politics/politics-news/fact-check-7-things-trump-didn-t-get-quite-right-n861316?cid=public-rss_20180331,Fact check: 7 things Trump didn't get quite right in rally-style Ohio speech
72,DSI-72,https://www.nbcnews.com/politics/justice-department/sessions-no-special-counsel-probe-alleged-fbi-political-bias-us-n861306?cid=public-rss_20180331,"Sessions: No special counsel to probe alleged FBI political bias, but U.S. attorney investigating"
73,DSI-73,https://www.nbcnews.com/politics/white-house/after-week-away-cameras-trump-cuts-loose-n861251?cid=public-rss_20180331,"After a week away from the cameras, Trump cuts loose"
74,DSI-74,https://www.nbcnews.com/politics/politics-news/russia-expel-diplomats-close-u-s-consulate-tit-tat-over-n861211?cid=public-rss_20180331,"Russia retaliates: Expels U.S. diplomats, closes consulate after ex-spy poisoning"
75,DSI-75,https://www.nbcnews.com/news/us-news/how-does-u-s-decide-which-russians-throw-out-country-n860916?cid=public-rss_20180331,How does the U.S. decide which Russians to throw out of the country?
76,DSI-76,https://www.nbcnews.com/politics/supreme-court/supreme-court-set-decide-if-states-can-tax-internet-sales-n861186?cid=public-rss_20180331,Supreme Court set to decide if states can tax Internet sales
77,DSI-77,https://www.nbcnews.com/politics/politics-news/donald-trump-jr-eric-trump-hit-back-jeb-bush-after-n861156?cid=public-rss_20180331,"Donald Trump Jr., Eric Trump hit back at Jeb Bush after perceived dig"
78,DSI-78,https://www.nbcnews.com/politics/white-house/trump-replaces-embattled-va-secretary-personal-physician-n859496?cid=public-rss_20180331,Trump replaces embattled Veterans Affairs secretary with White House physician
79,DSI-79,https://www.nbcnews.com/politics/donald-trump/trump-called-roseanne-barr-congratulate-her-show-reboot-n861061?cid=public-rss_20180331,Trump called Roseanne Barr to congratulate her on show reboot
80,DSI-80,https://www.nbcnews.com/business/business-news/donald-trump-going-after-amazon-jeff-bezos-again-n861066?cid=public-rss_20180331,"Donald Trump is going after Amazon and Jeff Bezos, again"
81,DSI-81,https://www.nbcnews.com/politics/first-read/pardon-discussions-open-new-questions-about-russia-probe-n861086?cid=public-rss_20180331,Pardon discussions open up new questions about Russia probe
82,DSI-82,https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-obama-enters-2018-fray-n861081?cid=public-rss_20180331,First Read's Morning Clips: Obama enters 2018 fray
