,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
pennsylvania,5,unitedStates,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,,,,0.00966183574879227,,,,0.03571428571428571,,,,,,,,,0.016666666666666666,,,,,0.01639344262295082,,,
georgia,5,unitedStates,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,,0.05405405405405406,,,,,,,0.0625,,,,,,,,,,,,,
robbyMook,5,democrat,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,0.018726591760299626,,,,,,,,,,,,,,,,,,,,,,,,
dollar,5,economy,3,0.002508780732563974,0.9378520932511555,0.00235286526154329,1.0,,,,,,,,,,,,,,,,0.02564102564102564,,0.05,,,,,0.01639344262295082,,,
ginaHaspel,5,trumpStaff,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,0.06493506493506493,,,,,,,,,,,,,,,,,,,,,,
rubyRippeyGibney,5,civilRights,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,0.05154639175257732,,,,,,,,,,,,,,
law,4,judicial,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,,,,,,,,,,,,,,,,,,,,0.029850746268656716,,,0.023809523809523808,,
joelWallenstrom,4,privacy,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,0.0149812734082397,,,,,,,,,,,,,,,,,,,,,,,,
conorLamb,4,democrat,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,,,,,,,0.06666666666666667,,,,,,,,
supreme court,4,judicial,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,,,,,,0.027777777777777776,,,,,,,,,,,,,0.03125,,,0.03278688524590164,,,
